Depto;Puntaje Global
BOGOTÁ;271.9642528
BOYACA;268.3471126
SANTANDER;267.3985237
CUNDINAMARCA;264.0075875
QUINDIO;261.3810526
NORTE SANTANDER;259.4573256
RISARALDA;255.9948931
HUILA;254.8068298
VALLE;254.1875745
CALDAS;254.181109
CASANARE;253.5780587
META;252.6354515
NARIÑO;249.0967941
ATLANTICO;246.6294251
ANTIOQUIA;246.3354846
TOLIMA;244.513155
CESAR;242.439965
CAQUETA;241.5650417
ARAUCA;241.4451467
PUTUMAYO;239.5151902
CORDOBA;238.3750728
SAN ANDRES;237.3830156
SUCRE;236.5633061
CAUCA;233.9373637
BOLIVAR;230.7006038
GUAVIARE;228.8480952
MAGDALENA;227.9516167
GUAINIA;222.92125
LA GUAJIRA;221.8791181
VICHADA;217.909688
AMAZONAS;215.5006075
VAUPES;213.6682028
CHOCO;206.1000415
